"Base License Number","Base Name","DBA","Year","Month","Month Name","Total Dispatched Trips","Total Dispatched Shared Trips","Unique Dispatched Vehicles"
"B02285","VALERA GLOBAL, INC.",,"2022","10","October","1,932","0","43"
"B02517","LOS PAISANOS LUXURY C/S INC.",,"2020","4","April","82","0","4"
"B02315","LA MORENITA CAR LIMO SERVICE INC",,"2023","3","March","1,256","0","6"
"B03144","JUST A MOMENT CAR SERVICE INC",,"2022","6","June","138","0","3"
"B02962","HEALTH BLACK CAR SERVICES, CORP","ADON","2025","4","April","1,547","0","12"
"B02852","OP CAR SERVICE INC.",,"2016","5","May","365","0","9"
"B01148","EVELYN CAR SERVICE INC",,"2018","5","May","1,453","0","11"
"B03334","WTM 365 INC.","U.S. LIMO SYSTEMS","2024","7","July","193","0","15"
"B02724","CORE CAR, INC",,"2020","5","May","3","0","2"
"B02664","CORPORATE CAR LTD.",,"2020","2","February","127","0","30"
"B01190","NEW BELL CAR SERVICE CORP",,"2016","11","November","11,572","0","73"
"B00860","SEAMAN RADIO DISPATCHERS INC",,"2016","8","August","42,667","0","206"
"B02729","LOW TOUCH LUXURY INC.",,"2019","7","July","605","0","19"
"B00639","ROCAPULCO CAR SERVICE INC.",,"2017","8","August","2,101","0","9"
"B02228","SPECIAL RADIO DISP.CORP.",,"2019","7","July","19","0","6"
"B00445","JOE M LEASING CORP","FOUR TWO'S PVT C/S","2016","9","September","8,386","0","22"
"B03334","WTM 365 INC.","U.S. LIMO SYSTEMS","2021","12","December","89","0","8"
"B00375","THE EXCELLENT C/S INC",,"2015","8","August","17,552","0","103"
"B02903","JFK LUXURY LIMOUSINE INC",,"2018","12","December","460","126","17"
"B03140","RISE AND SHINE TRANSPORTATION INC.",,"2020","8","August","219","0","2"
"B02003","AVALON CORPORATE CAR,INC.",,"2022","8","August","1,296","0","209"
"B03064","AP LUXURY LIMOUSINE INC",,"2019","1","January","281","0","12"
"B02254","FINESSE GROUP LIMOUSINE,INC.",,"2018","3","March","653","0","5"
"B00202","EXCELSIOR CAR & LIMO, INC.",,"2020","4","April","83","0","5"
"B00987","MARLBORO CAR SERVICE INC.",,"2017","9","September","132","0","2"
"B01367","ROYAL DISPATCH SERVICES, INC.","EXECUTIVE CARS","2017","8","August","2,277","0","64"
"B01479","PRATT CAR SERVICE INC",,"2018","3","March","803","0","5"
"B03156","EPIC CAR SERVICE INC.",,"2019","12","December","2,498","0","32"
"B03266","HOYT LIMO & SERVICE CORP.",,"2024","6","June","6,728","0","38"
"B03348","APPLE CITY CAR INC",,"2025","2","February","302","0","15"
"B00369","BOULEVARD OPERATING INC.",,"2016","6","June","448","0","19"
"B02401","NORTHSIDE BK LLC",,"2020","6","June","750","0","17"
"B01963","AFRO CAR SERVICE CORP",,"2017","5","May","2,768","0","26"
"B03140","RISE AND SHINE TRANSPORTATION INC.",,"2021","8","August","109","0","2"
"B01485","FLAMINGO TRANSP. & LIMO. SERVICES INC.",,"2021","10","October","5,007","0","25"
"B02406","MY SEDAN LLC",,"2016","6","June","1,174","0","20"
"B02913","DAT TRANSPORTATION INC.",,"2024","3","March","4","0","1"
